text,weather_intent,action,aggregation,location,time
weaiher conditions pls,CURRENT_CONDITIONS,GET,RAW,[],[]
"Need is it giong to rain for Gourdih, Puruliya right now",RAIN,GET,RAW,"[""Gourdih, Puruliya""]","[""right now""]"
"Contarst wind bearing in my plot with Dhepua, Paschim Medinipur Sadar by 1:48 PM",WIND_DIRECTION,COMPARE,RAW,"[""my plot"", ""Dhepua, Paschim Medinipur Sadar""]","[""1:48 PM""]"
Message me the coldest in Pahrauli at 1:09 AM,TEMPERATURE_MIN,ALERT,RAW,"[""Pahrauli""]","[""1:09 AM""]"
"Weakest frcast in Maira Dhaj, Nagaon, Assam",FORECAST,GET,MIN,"[""Maira Dhaj, Nagaon, Assam""]",[]
let me know if there is a conditions rigt now alert sarroornagar day after tomorrow,CURRENT_CONDITIONS,ALERT,RAW,"[""sarroornagar""]","[""day after tomorrow""]"
Give me the lowest temperature Dhobbahi around 7 PM,TEMPERATURE_MIN,GET,RAW,"[""Dhobbahi""]","[""7 PM""]"
notify me about the gust speed in my plot?!,WIND_SPEED,ALERT,RAW,"[""my plot""]",[]
Overcast in my village pls,CLOUD_COVER,GET,RAW,"[""my village""]",[]
give me the miti ka taapmaan for mungaha from 10 am to 11 am,SOIL_TEMPERATURE,GET,RAW,"[""mungaha""]","[""10 am to 11 am""]"
Compare the soil moiisture here with Shripur from 8:30 am to 12:30 PM,SOIL_MOISTURE,COMPARE,RAW,"[""here"", ""Shripur""]","[""8:30 am to 12:30 PM""]"
How is the weather today in Tokyo?,CURRENT_CONDITIONS,GET,RAW,"[""Tokyo""]","[""today""]"
typical earth temperature in bakaina at 10:06 am,SOIL_TEMPERATURE,GET,AVG,"[""bakaina""]","[""10:06 am""]"
pls Put the wind strength nearby against Rannu on Saturday,WIND_SPEED,COMPARE,RAW,"[""nearby"", ""Rannu""]","[""Saturday""]"
Is any hottest advisory issued for Tarf Tajwal?,TEMPERATURE_MAX,ALERT,RAW,"[""Tarf Tajwal""]",[]
"kindly Whch has higher soil temp, Hinauti Chakia or Turnal this evening?",SOIL_TEMPERATURE,COMPARE,RAW,"[""Hinauti Chakia"", ""Turnal""]","[""this evening""]"
warn me about the maximum temprature in my feild,TEMPERATURE_MAX,ALERT,RAW,"[""my feild""]",[]
Can you tell the mauasm in Dakshin Panalguri from 9 AM to 11 AM?,CURRENT_CONDITIONS,GET,RAW,"[""Dakshin Panalguri""]","[""9 AM to 11 AM""]"
"Put the dew level in this area against Antari, Shahdol this weekend",DEW_POINT,COMPARE,RAW,"[""this area"", ""Antari, Shahdol""]","[""this weekend""]"
Set an alert for weather update in my feild tomorow,CURRENT_CONDITIONS,ALERT,RAW,"[""my feild""]","[""tomorow""]"
wat is solar exposure in my village yesterday,SUNSHINE,GET,RAW,"[""my village""]","[""yesterday""]"
Barish details 2nite,RAIN,GET,RAW,[],"[""2nite""]"
"Is Manipur India or Chawa, Sherghati the safer bet for clloud percentage for the next 7 days?",CLOUD_COVER,COMPARE,RAW,"[""Manipur India"", ""Chawa, Sherghati""]","[""next 7 days""]"
I want to be told if the soil moistur turns bad in Chandsora,SOIL_MOISTURE,ALERT,RAW,"[""Chandsora""]",[]
Chekc the wind flow direction for the next 7 days,WIND_DIRECTION,GET,RAW,[],"[""next 7 days""]"
Contrast the min temperatuue in this area with Ichcheri,TEMPERATURE_MIN,COMPARE,RAW,"[""this area"", ""Ichcheri""]",[]
Cmpaue the how cold nearby with Badhaiya last week,TEMPERATURE,COMPARE,RAW,"[""nearby"", ""Badhaiya""]","[""last week""]"
"Put a remidner for humidty in Kattangudi, Virudhunagar tmrw",HUMIDITY,ALERT,RAW,"[""Kattangudi, Virudhunagar""]","[""tmrw""]"
"which one should i pick for cloud covar by 8:30 am, afzalpur or abhirampur?",CLOUD_COVER,COMPARE,RAW,"[""afzalpur"", ""abhirampur""]","[""8:30 am""]"
Let me know if there is a soil misture 10cm aelrt in Laro Jammu And Kashmir tomorrow morning,SOIL_MOISTURE,ALERT,RAW,"[""Laro Jammu And Kashmir""]","[""tomorrow morning""]"
"Highest how cloudy Gourdih, Puruliya",CLOUD_COVER,GET,MAX,"[""Gourdih, Puruliya""]",[]
"How does the will it rain in this area compaer with Goudia Bahali, Thakurmunda next month?",RAIN,COMPARE,RAW,"[""this area"", ""Goudia Bahali, Thakurmunda""]","[""next month""]"
"I need the vaatavaranam reading for Nutangram, Burdwan tommorow",CURRENT_CONDITIONS,GET,RAW,"[""Nutangram, Burdwan""]","[""tommorow""]"
Check the soil moisture at 10cm at my location around 12:30 PM,SOIL_MOISTURE,GET,RAW,"[""my location""]","[""12:30 PM""]"
put the daytime temperature in my vilage againt sheorajpur tomorow,TEMPERATURE_MAX,COMPARE,RAW,"[""my vilage"", ""sheorajpur""]","[""tomorow""]"
Warn me abut the chance of rain later today,RAIN,ALERT,RAW,[],"[""later today""]"
Diffrence in hawa ki disha beetween Koara and Samangaon tomorrow morning,WIND_DIRECTION,COMPARE,RAW,"[""Koara"", ""Samangaon""]","[""tomorrow morning""]"
Compare the minium temperature at my location with Kouthalam on Wednesday,TEMPERATURE_MIN,COMPARE,RAW,"[""my location"", ""Kouthalam""]","[""Wednesday""]"
inform me if due point bad in river on sunday,DEW_POINT,ALERT,RAW,"[""river""]","[""sunday""]"
"Whihc is better for drizzle, Gothani, Bikramganj, Rohtas or Gerai Ki Guwari??",RAIN,COMPARE,RAW,"[""Gothani, Bikramganj, Rohtas"", ""Gerai Ki Guwari""]",[]
Avg rh South West Garo Hills,HUMIDITY,GET,AVG,"[""South West Garo Hills""]",[]
let me know if thee is a solar radiation alert in siris bani next weekend,SUNSHINE,ALERT,RAW,"[""siris bani""]","[""next weekend""]"
Compiar the humdity between Nowgong Madhya Pradesh and Darola by 9:45 pm,HUMIDITY,COMPARE,RAW,"[""Nowgong Madhya Pradesh"", ""Darola""]","[""9:45 pm""]"
"cold in tarya lachhiram, badarikilo, puri and laram jangi pora jammu and kashmir this weekend asap",TEMPERATURE,COMPARE,RAW,"[""tarya lachhiram"", ""badarikilo, puri"", ""laram jangi pora jammu and kashmir""]","[""this weekend""]"
Preedictions in Jammu And Kashmir: rn or 9:34 pm?,FORECAST,COMPARE,RAW,"[""Jammu And Kashmir""]","[""rn"", ""9:34 pm""]"
humdity birshapur early morning pls,HUMIDITY,GET,RAW,"[""birshapur""]","[""early morning""]"
Any warrnings about dewpoint in Teki Patti?,DEW_POINT,ALERT,RAW,"[""Teki Patti""]",[]
"compare the how is the weaiher in jhagar pur, san pedro and sari murkawal",CURRENT_CONDITIONS,COMPARE,RAW,"[""jhagar pur"", ""san pedro"", ""sari murkawal""]",[]
Infoorm me if due point bad in Painada Modarpur on Sunday,DEW_POINT,ALERT,RAW,"[""Painada Modarpur""]","[""Sunday""]"
"need fieeld moistture for bari, ramgarh shekhawati, sikar, rajasthan tomorrow morning",SOIL_MOISTURE,GET,RAW,"[""bari, ramgarh shekhawati, sikar, rajasthan""]","[""tomorrow morning""]"
"flag the how is the weahter for nayanagar, begamganj right now",CURRENT_CONDITIONS,ALERT,RAW,"[""nayanagar, begamganj""]","[""right now""]"
Put the dew temeprature here against Dhobahi Mirzapur nxt week,DEW_POINT,COMPARE,RAW,"[""here"", ""Dhobahi Mirzapur""]","[""nxt week""]"
Warn me about the dewoint in my field,DEW_POINT,ALERT,RAW,"[""my field""]",[]
We are heading to Ambheta around 4:15 PM - what is the weather report looking like?,FORECAST,GET,RAW,"[""Ambheta""]","[""4:15 PM""]"
What's waather like gap between Wayanad and Sawai Madhopur Rajasthan in the next 8 hours,CURRENT_CONDITIONS,COMPARE,RAW,"[""Wayanad"", ""Sawai Madhopur Rajasthan""]","[""next 8 hours""]"
is any max tempreture advisory issuude for tarneya khera at 9:30 pm..,TEMPERATURE_MAX,ALERT,RAW,"[""tarneya khera""]","[""9:30 pm""]"
Plz alert taapmaan Nagaland this week,TEMPERATURE,ALERT,RAW,"[""Nagaland""]","[""this week""]"
"Compare the hihest temp in Puranpur, Jaunpur between next weekend and 10:45 PM",TEMPERATURE_MAX,COMPARE,RAW,"[""Puranpur, Jaunpur""]","[""next weekend"", ""10:45 PM""]"
"Clooud covr alerrt Sarsand, Hardoi on Friday",CLOUD_COVER,ALERT,RAW,"[""Sarsand, Hardoi""]","[""Friday""]"
"Compare wind gusts Dhemdhema Pt.i Dakhsin Panialguri, Alipur Duar, West Bengal from 7 am to 9:30 pm bro",WIND_SPEED,COMPARE,RAW,"[""Dhemdhema Pt.i"", ""Dakhsin Panialguri, Alipur Duar, West Bengal""]","[""7 am to 9:30 pm""]"
Is there any gust warning near by day after tomorrow?,WIND_SPEED,ALERT,RAW,"[""near by""]","[""day after tomorrow""]"
Put the humdity here agaaainst Ssiswa Tola Jai Ray Bagha,HUMIDITY,COMPARE,RAW,"[""here"", ""Ssiswa Tola Jai Ray Bagha""]",[]
Warn me about the solr exposure in Khani Upperli Kangar,SUNSHINE,ALERT,RAW,"[""Khani Upperli Kangar""]",[]
"compare suanight in mahamadpur pt ii vs naysatra, bongaigaon",SUNSHINE,COMPARE,RAW,"[""mahamadpur pt ii"", ""naysatra, bongaigaon""]",[]
Update me on the overcast Dayara Timbi tommorow,CLOUD_COVER,GET,RAW,"[""Dayara Timbi""]","[""tommorow""]"
"wind flow direction in voyalanallur and sabesr aorund 4:15 pm, which is better?",WIND_DIRECTION,COMPARE,RAW,"[""voyalanallur"", ""sabesr""]","[""4:15 pm""]"
put wind strength in my feild against khadakohol last week,WIND_SPEED,COMPARE,RAW,"[""my feild"", ""khadakohol""]","[""last week""]"
warn me aboout the lowest temp 2nite,TEMPERATURE_MIN,ALERT,RAW,[],"[""2nite""]"
Hmuidity percentage in Shohrok: 11:30 AM or Sunday?,HUMIDITY,COMPARE,RAW,"[""Shohrok""]","[""11:30 AM"", ""Sunday""]"
contrast the soil tepmeture at my place with karan patti by 2 am,SOIL_TEMPERATURE,COMPARE,RAW,"[""my place"", ""karan patti""]","[""2 am""]"
Want alert for moistuure in the soil in Kasloi this afternoon,SOIL_MOISTURE,ALERT,RAW,"[""Kasloi""]","[""this afternoon""]"
Give max tempreture Mohamad Urf Jhinwarheri Haridwar Uttarakhand by 9 PM,TEMPERATURE_MAX,GET,RAW,"[""Mohamad Urf Jhinwarheri Haridwar Uttarakhand""]","[""9 PM""]"
Tel me the sky condition for Samaria Garudeshwar in 60 minutes,CLOUD_COVER,GET,RAW,"[""Samaria Garudeshwar""]","[""60 minutes""]"
set an alart for what temperature in pura ruchai by 4 am,TEMPERATURE,ALERT,RAW,"[""pura ruchai""]","[""4 am""]"
"add up the minieum in indloor, nalgonda from 4:30 am to 8:30 am",TEMPERATURE_MIN,GET,SUM,"[""indloor, nalgonda""]","[""4:30 am to 8:30 am""]"
Put the what's the waether like around here against Gantuli Chhote from 9:43 am to 1 PM,CURRENT_CONDITIONS,COMPARE,RAW,"[""here"", ""Gantuli Chhote""]","[""9:43 am to 1 PM""]"
give me a hedas up about the rain probability in dihri on tuesday,RAIN,ALERT,RAW,"[""dihri""]","[""tuesday""]"
Is any min temperature advisory issued during the sowing week,TEMPERATURE_MIN,ALERT,RAW,[],"[""sowing week""]"
Are there strong gusts of wind in Oklahoma City?,WIND_SPEED,GET,RAW,"[""Oklahoma City""]",[]
how does the cloud percentage in my vilage compare with kulgarhi this morning?,CLOUD_COVER,COMPARE,RAW,"[""my vilage"", ""kulgarhi""]","[""this morning""]"
"How does the chacne of rain my feild comare with Kulerbahali, Bolangir (Balangir), Odisha yesterday?",RAIN,COMPARE,RAW,"[""my feild"", ""Kulerbahali, Bolangir (Balangir), Odisha""]","[""yesterday""]"
"Is the humdity higer in Pathar or in Nutanuram, Burdwan by 9:45 pm?",HUMIDITY,COMPARE,RAW,"[""Pathar"", ""Nutanuram, Burdwan""]","[""9:45 pm""]"
Compare the sunshine hours near by with Mandaria this weekend,SUNSHINE,COMPARE,RAW,"[""near by"", ""Mandaria""]","[""this weekend""]"
How is the weather update in Moh Gaon by 2 AM?,CURRENT_CONDITIONS,GET,RAW,"[""Moh Gaon""]","[""2 AM""]"
"parbhani, maharashtra versses pathakpur sun day after tomorow??",SUNSHINE,COMPARE,RAW,"[""parbhani, maharashtra"", ""pathakpur""]","[""day after tomorow""]"
Put the maximum temrpature near me against Dharampur,TEMPERATURE_MAX,COMPARE,RAW,"[""near me"", ""Dharampur""]",[]
hw is dhoop jigana tal tomorrow night,SUNSHINE,GET,RAW,"[""jigana tal""]","[""tomorrow night""]"
Send me an alert if the mitti ka taapmaan is unusual in Chatarala 2day,SOIL_TEMPERATURE,ALERT,RAW,"[""Chatarala""]","[""2day""]"
"panasi rewa madhya pradesh vs raiganj, west bengal lowset temprature today",TEMPERATURE_MIN,COMPARE,RAW,"[""panasi rewa madhya pradesh"", ""raiganj, west bengal""]",[]
"Contrast the sky coodition in my field with Nayanagar, Begamganj at 10:06 am",CLOUD_COVER,COMPARE,RAW,"[""my field"", ""Nayanagar, Begamganj""]","[""10:06 am""]"
Avg wind speed forecast Babanaul in 30 minutes,WIND_SPEED,GET,AVG,"[""Babanaul""]","[""30 minutes""]"
"Compre the tempreture at my location with Chawa, Sherghati",TEMPERATURE,COMPARE,RAW,"[""my location"", ""Chawa, Sherghati""]",[]
Strongest depoit in Neurhawa for the next 3 days,DEW_POINT,GET,MAX,"[""Neurhawa""]","[""next 3 days""]"
Need rian for Sakariya,RAIN,GET,RAW,"[""Sakariya""]",[]
Let me know if the mitti ki nami changes in Khamawada around 10:45 PM,SOIL_MOISTURE,ALERT,RAW,"[""Khamawada""]","[""10:45 PM""]"
check the wind velocity in 30 minutes,WIND_SPEED,GET,RAW,[],"[""30 minutes""]"
"Compare the tempreture in my feild with Vyas Kheri, Atru by 11 am",TEMPERATURE,COMPARE,RAW,"[""my feild"", ""Vyas Kheri, Atru""]","[""11 am""]"
"How duz the overcast levol in Narsinghpura, Digod compare with Rannu tmrw?",CLOUD_COVER,COMPARE,RAW,"[""Narsinghpura, Digod"", ""Rannu""]","[""tmrw""]"
Plz alert soil heat level Khapa at 1:09 AM,SOIL_TEMPERATURE,ALERT,RAW,"[""Khapa""]","[""1:09 AM""]"
Warn me about strong winds in Phaskhawa Tea Garden right now,WIND_SPEED,ALERT,RAW,"[""Phaskhawa Tea Garden""]","[""right now""]"
contrast the moisture in the soil arund my area with kukda,SOIL_MOISTURE,COMPARE,RAW,"[""my area"", ""kukda""]",[]
Send alert current conditions in Khonkar by 4:45 AM,CURRENT_CONDITIONS,ALERT,RAW,"[""Khonkar""]","[""4:45 AM""]"
pogalur and begti kalan dewpoint,DEW_POINT,COMPARE,RAW,"[""pogalur"", ""begti kalan""]",[]
Contrast the rain amount at my place with Bharmal Jattan Pathankot Punjab by 4 am,RAIN,COMPARE,RAW,"[""my place"", ""Bharmal Jattan Pathankot Punjab""]","[""4 am""]"
"Between Bakaina, Amroha, Uttarpradesh and Rawani Pur, whech one looks better for rain this evening",RAIN,COMPARE,RAW,"[""Bakaina, Amroha, Uttarpradesh"", ""Rawani Pur""]","[""this evening""]"
How does the temperature in Hetavane Raygad compae with Panposh for the next 7 days?,TEMPERATURE,COMPARE,RAW,"[""Hetavane Raygad"", ""Panposh""]","[""next 7 days""]"
"Watch the min temperature for me in Raksani, Bihar on Friday",TEMPERATURE_MIN,ALERT,RAW,"[""Raksani, Bihar""]","[""Friday""]"
Coonttrast the ground temp in Malhawai between 2 AM and 49 minutes,SOIL_TEMPERATURE,COMPARE,RAW,"[""Malhawai""]","[""2 AM"", ""49 minutes""]"
"quick os binndu check thakurdi, puruliya",DEW_POINT,GET,RAW,"[""thakurdi, puruliya""]",[]
"Where is the soil moisture at 10 m greater, Sembianallur or Turnal during the sowing week",SOIL_MOISTURE,COMPARE,RAW,"[""Sembianallur"", ""Turnal""]","[""sowing week""]"
Contrast the hawa ki disa in my feild with Kmarkuuchi tomorow,WIND_DIRECTION,COMPARE,RAW,"[""my feild"", ""Kmarkuuchi""]","[""tomorow""]"
is the oevrnight low higher badpl or in lalpura nxt week?,TEMPERATURE_MIN,COMPARE,RAW,"[""badpl"", ""lalpura""]","[""nxt week""]"
i want to know the how hot in got gerya kharagpur in the next 12 hours,TEMPERATURE,GET,RAW,"[""got gerya kharagpur""]","[""next 12 hours""]"
"Compair the soil moisture at 10cm betwen Guhalipada and Ganguwa, Saggar, Madhya Pradesh on Tuesday",SOIL_MOISTURE,COMPARE,RAW,"[""Guhalipada"", ""Ganguwa, Saggar, Madhya Pradesh""]","[""Tuesday""]"
Warn me about the highest temperature in this area this week,TEMPERATURE_MAX,ALERT,RAW,"[""this area""]","[""this week""]"
Is there any showers warning in my felid?,RAIN,ALERT,RAW,"[""my felid""]",[]
"Tell me the night temperatre for Ambheta, Bharuch tomorrow evening",TEMPERATURE_MIN,GET,RAW,"[""Ambheta, Bharuch""]","[""tomorrow evening""]"
lowest tempreature today at my location by 2 am,TEMPERATURE_MIN,GET,RAW,"[""my location""]","[""2 am""]"
plz alet day high ranhot sirmaur,TEMPERATURE_MAX,ALERT,RAW,"[""ranhot sirmaur""]",[]
"Bdal in Gali Bhimavaram Vishakhapatnam and Sheorajpur, Jaspur at 1:09 AM, which is better?",CLOUD_COVER,COMPARE,RAW,"[""Gali Bhimavaram Vishakhapatnam"", ""Sheorajpur, Jaspur""]","[""1:09 AM""]"
contrast the coldest temperature in my field with kouthalam around 9:34 pm,TEMPERATURE_MIN,COMPARE,RAW,"[""my field"", ""kouthalam""]","[""9:34 pm""]"
"Give me a heads up about the maximum tempraure in Rudain Urf Manjhgawa, Gorakhpur, Uttarpradesh yesterday",TEMPERATURE_MAX,ALERT,RAW,"[""Rudain Urf Manjhgawa, Gorakhpur, Uttarpradesh""]","[""yesterday""]"
raise an alarm if field moisture looks bad in sheorajpur tomorrow evening,SOIL_MOISTURE,ALERT,RAW,"[""sheorajpur""]","[""tomorrow evening""]"
Let me know if there is a soil tempreture alert in Doddahejjaji Bengaluru Rural during the sowing week,SOIL_TEMPERATURE,ALERT,RAW,"[""Doddahejjaji Bengaluru Rural""]","[""sowing week""]"
"At 9:30 am, compare the sunlight hours in Singha, Sabar Kantha and Hisale, Dhule",SUNSHINE,COMPARE,RAW,"[""Singha, Sabar Kantha"", ""Hisale, Dhule""]","[""9:30 am""]"
"Raise an alarm if the soil moisture 10cm looks bad in Khalina, Jaleswar by 4 PM",SOIL_MOISTURE,ALERT,RAW,"[""Khalina, Jaleswar""]","[""4 PM""]"
What's the rining in Punjab India by 9:45 pm?,RAIN,GET,RAW,"[""Punjab India""]","[""9:45 pm""]"
is there any weather prediction warning for gantuli chhote for the next 3 days?,FORECAST,ALERT,RAW,"[""gantuli chhote""]","[""next 3 days""]"
Ping me the current temp tomorrow,TEMPERATURE,ALERT,RAW,[],"[""tomorrow""]"
"What will the conditoins riht now be Dwarikapur, Cuttack, Odisha tomorrow?",CURRENT_CONDITIONS,GET,RAW,"[""Dwarikapur, Cuttack, Odisha""]","[""tomorrow""]"
When is the wind heading lowest in Khudra Dingdingi tmrw?,WIND_DIRECTION,GET,MIN,"[""Khudra Dingdingi""]","[""tmrw""]"
Plz alert wind bearing Dhamni Raygad around 9:34 pm,WIND_DIRECTION,ALERT,RAW,"[""Dhamni Raygad""]","[""9:34 pm""]"
is any humidty advisory issued for cuttack for the next 7 days?,HUMIDITY,ALERT,RAW,"[""cuttack""]","[""next 7 days""]"
how is the susnhine in rawanni pur tomorrow evening?,SUNSHINE,GET,RAW,"[""rawanni pur""]","[""tomorrow evening""]"
Can you keep an eye on rainfall in Dwarikapur next month?,RAIN,ALERT,RAW,"[""Dwarikapur""]","[""next month""]"
Let me know if there is a will it rain alert in Laro Jammu And Kashmir,RAIN,ALERT,RAW,"[""Laro Jammu And Kashmir""]",[]
Put the wind bearing in my farm against Kare Rampur early morning,WIND_DIRECTION,COMPARE,RAW,"[""my farm"", ""Kare Rampur""]","[""early morning""]"
Check the moisture in fielld for both Kopaganj and Laram Jangi Pora this morning,SOIL_MOISTURE,COMPARE,RAW,"[""Kopaganj"", ""Laram Jangi Pora""]","[""this morning""]"
Can i skip watering in Narssinghpura today?,SOIL_MOISTURE,GET,RAW,"[""Narssinghpura""]","[""today""]"
"Compair the wind intensity betwen Hatikali and Bargaon, Subarnapur at 9:30 PM",WIND_SPEED,COMPARE,RAW,"[""Hatikali"", ""Bargaon, Subarnapur""]","[""9:30 PM""]"
Hw is lowest temp in Malhawani Shivpuri Madhya Pradesh nxt week,TEMPERATURE_MIN,GET,RAW,"[""Malhawani Shivpuri Madhya Pradesh""]","[""nxt week""]"
Flag the highest temp here next weekend,TEMPERATURE_MAX,ALERT,RAW,"[""here""]","[""next weekend""]"
Plz alert soil wetness Nilapalil Khordha Odisha 2nite,SOIL_MOISTURE,ALERT,RAW,"[""Nilapalil Khordha Odisha""]","[""2nite""]"
"Durinng the sowing week, compare the how hot in Bhitaha Gopalpur Belthara Road and Badhiadih Jarmundi Dumka",TEMPERATURE,COMPARE,RAW,"[""Bhitaha Gopalpur Belthara Road"", ""Badhiadih Jarmundi Dumka""]","[""sowing week""]"
Flag the cloud covre percentage for Hengerajhar this morning,CLOUD_COVER,ALERT,RAW,"[""Hengerajhar""]","[""this morning""]"
We are headding to Purnia this afternoon - what is the rh looking like,HUMIDITY,GET,RAW,"[""Purnia""]","[""this afternoon""]"
whats cloud covr looking like in buthpur during the sowing week?,CLOUD_COVER,GET,RAW,"[""buthpur""]","[""sowing week""]"
inform me if how hot bad in dhepua,TEMPERATURE,ALERT,RAW,"[""dhepua""]",[]
"Dhepua, Paschim Medinipur Sadar or Dakshin Panialguri, Alipur Duar, West Bengal bettr temperature now 2day?",TEMPERATURE,COMPARE,RAW,"[""Dhepua, Paschim Medinipur Sadar"", ""Dakshin Panialguri, Alipur Duar, West Bengal""]","[""2day""]"
flag the biight sunshine in my field on tuesday,SUNSHINE,ALERT,RAW,"[""my field""]","[""tuesday""]"
Keep potsed on the upcoming weather in Navsari this weekend,FORECAST,ALERT,RAW,"[""Navsari""]","[""this weekend""]"
R.venkampeta tomorrow forecast?,FORECAST,GET,RAW,"[""R.venkampeta""]","[""tomorrow""]"
bro How does the heat leevle in Badadunguripali compare with Kalyan?,TEMPERATURE,COMPARE,RAW,"[""Badadunguripali"", ""Kalyan""]",[]
Any idea about the mniimum temperature in Konijerla day after tomorow?,TEMPERATURE_MIN,GET,RAW,"[""Konijerla""]","[""day after tomorow""]"
check the moistue at 40cm in minache kh. on sunday,SOIL_MOISTURE,GET,RAW,"[""minache kh.""]","[""sunday""]"
Tel me the mausam for Kattangudi for the next 3 days,CURRENT_CONDITIONS,GET,RAW,"[""Kattangudi""]","[""next 3 days""]"
Notify me about the hawa ki disia at my place today,WIND_DIRECTION,ALERT,RAW,"[""my place""]","[""today""]"
Warn me about the ovenight temperature in my field at 5 PM,TEMPERATURE_MIN,ALERT,RAW,"[""my field""]","[""5 PM""]"
ping me about the how humdi here in the next 6 hours,HUMIDITY,ALERT,RAW,"[""here""]","[""next 6 hours""]"
Contrast rain intenstiy in Neelagrh Mal betewen 8:30 am to 12:30 PM and next 3 hours,RAIN,COMPARE,RAW,"[""Neelagrh Mal""]","[""8:30 am to 12:30 PM"", ""next 3 hours""]"
"Reminder for soil temperature 10cm Nayanagar, Begamganj this evening sir",SOIL_TEMPERATURE,ALERT,RAW,"[""Nayanagar, Begamganj""]","[""this evening""]"
Notifiy me abotu the soil heat level in Chhailai Jagir on Monday,SOIL_TEMPERATURE,ALERT,RAW,"[""Chhailai Jagir""]","[""Monday""]"
Notifiy me about the overcast in Manikpara tomorrow evening,CLOUD_COVER,ALERT,RAW,"[""Manikpara""]","[""tomorrow evening""]"
how much rain forrecast?,RAIN,GET,RAW,[],[]
"Diiffrence in rainfall between Sihor, Bhavngar and Gowdanahalli Tumakuru Karnataka later today",RAIN,COMPARE,RAW,"[""Sihor, Bhavngar"", ""Gowdanahalli Tumakuru Karnataka""]","[""later today""]"
"Can you keep an eye on the outside weather in R.venkampeta, Vizianagaram today",CURRENT_CONDITIONS,ALERT,RAW,"[""R.venkampeta, Vizianagaram""]","[""today""]"
I want to know if the sunny in Jagtial is fine,SUNSHINE,GET,RAW,"[""Jagtial""]",[]
urgent Show me the air moisture in Dumalpakhal tomorow,HUMIDITY,GET,RAW,"[""Dumalpakhal""]","[""tomorow""]"
caeeroon cold by 6:15 am,TEMPERATURE,GET,RAW,"[""caeeroon""]","[""6:15 am""]"
"Which is better for dew point temp, Gotameshwar or Fattepur?",DEW_POINT,COMPARE,RAW,"[""Gotameshwar"", ""Fattepur""]",[]
"checck the mausam for both kopaganj and tupenga, mainpur on tuesday",CURRENT_CONDITIONS,COMPARE,RAW,"[""kopaganj"", ""tupenga, mainpur""]","[""tuesday""]"
"on sunday, alert me about the how widy in uttar phulbari",WIND_SPEED,ALERT,RAW,"[""uttar phulbari""]","[""sunday""]"
Ping me abot the clouds in Dhamni Raygad on Monday,CLOUD_COVER,ALERT,RAW,"[""Dhamni Raygad""]","[""Monday""]"
Strongest wind heading in Inglish Timapur by 1 am,WIND_DIRECTION,GET,MAX,"[""Inglish Timapur""]","[""1 am""]"
Put the dew point around here against Jamaica by 3:45 AM,DEW_POINT,COMPARE,RAW,"[""here"", ""Jamaica""]","[""3:45 AM""]"
How does the ground heat near me compare with Sitaur around 4:15 PM?,SOIL_TEMPERATURE,COMPARE,RAW,"[""near me"", ""Sitaur""]","[""4:15 PM""]"
update me on the lowest temp in this area at 4:45 pm,TEMPERATURE_MIN,GET,RAW,"[""this area""]","[""4:45 pm""]"
Notifiy me the wnd direction in Lonar Maharashtra this morning,WIND_DIRECTION,ALERT,RAW,"[""Lonar Maharashtra""]","[""this morning""]"
Put the humididty in my farm against Dhobahi Mirzapur this afternoon,HUMIDITY,COMPARE,RAW,"[""my farm"", ""Dhobahi Mirzapur""]","[""this afternoon""]"
"Difrence in rain amount between Malhipru and Dindigul East, Tamil Nadu",RAIN,COMPARE,RAW,"[""Malhipru"", ""Dindigul East, Tamil Nadu""]",[]
Is lowest temperature advisory issued,TEMPERATURE_MIN,ALERT,RAW,[],[]
Tomorrow morning ground heat fgiures Dediya,SOIL_TEMPERATURE,GET,RAW,"[""Dediya""]","[""Tomorrow morning""]"
Is there any extended forecast warning for Himachal Pradesh on Saturday?,FORECAST,ALERT,RAW,"[""Himachal Pradesh""]","[""Saturday""]"
Check the daily forecast for both Budhakhamna and Purawas Khurd in the next 12 hours,FORECAST,COMPARE,RAW,"[""Budhakhamna"", ""Purawas Khurd""]","[""next 12 hours""]"
"day after tomorrow, what is upcoming weather?",FORECAST,GET,RAW,[],"[""day after tomorrow""]"
Could you let me know overnight low in Hastnapur tonight?,TEMPERATURE_MIN,GET,RAW,"[""Hastnapur""]","[""tonight""]"
flag the soil temperature at 10cm for the next 7 days,SOIL_TEMPERATURE,ALERT,RAW,[],"[""next 7 days""]"
ping me about the current conoitions 2day,CURRENT_CONDITIONS,ALERT,RAW,[],"[""2day""]"
huimd achharaund vs tiruvengadam nxt week,HUMIDITY,COMPARE,RAW,"[""achharaund"", ""tiruvengadam""]","[""nxt week""]"
Alert me if the wind crosses 40 kmph in Mariahu tomorrow night,WIND_SPEED,ALERT,RAW,"[""Mariahu""]","[""tomorrow night""]"
Dhop Smbianallur vs Kmarkuchi??,SUNSHINE,COMPARE,RAW,"[""Smbianallur"", ""Kmarkuchi""]",[]
"Betieen Gulalwali Najibabad and Agaram, Cuddalore, where is the future weather stronger 2day",FORECAST,COMPARE,RAW,"[""Gulalwali Najibabad"", ""Agaram, Cuddalore""]","[""2day""]"
Put the rain foreiast in my plot against Tambwa Bid Maharashtra today,RAIN,COMPARE,RAW,"[""my plot"", ""Tambwa Bid Maharashtra""]","[""today""]"
